Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114
TP53INP2,0.0296,0.134,0.552,10,hsa-miR-629-5p,hsa-miR-133a-5p,hsa-miR-138-5p,hsa-miR-27b-3p,hsa-miR-27a-3p,hsa-miR-342-3p,hsa-miR-877-3p,hsa-miR-216a-3p,hsa-miR-128-3p,hsa-miR-638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLTA,0.0297,0.134,0.57,11,hsa-miR-124-3p,hsa-miR-26b-5p,hsa-miR-23b-3p,hsa-miR-33a-3p,hsa-miR-653-3p,hsa-miR-181b-3p,hsa-miR-92a-3p,hsa-miR-367-3p,hsa-miR-363-3p,hsa-miR-32-5p,hsa-miR-25-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRF4,0.0297,0.134,0.57,11,hsa-miR-125b-5p,hsa-miR-26a-5p,hsa-miR-26b-5p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-125a-5p,hsa-miR-195-5p,hsa-miR-331-5p,hsa-miR-574-3p,hsa-miR-320c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRPL35,0.0297,0.134,0.57,11,hsa-miR-196a-5p,hsa-miR-18b-5p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-miR-556-3p,hsa-miR-124-5p,hsa-miR-95-5p,hsa-miR-875-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNN,0.0297,0.134,0.57,11,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-590-3p,hsa-miR-30b-5p,hsa-miR-23b-3p,hsa-miR-877-3p,hsa-miR-583,hsa-miR-320b,hsa-miR-320c,hsa-miR-548e-5p,hsa-miR-320d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRDM2,0.0297,0.134,0.57,11,hsa-miR-106b-3p,hsa-miR-203b-3p,hsa-miR-488-3p,hsa-miR-145-5p,hsa-miR-708-5p,hsa-miR-28-5p,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-542-3p,hsa-miR-188-5p,hsa-miR-605-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMED9,0.0297,0.134,0.57,11,hsa-miR-124-3p,hsa-miR-484,hsa-miR-324-3p,hsa-miR-92a-3p,hsa-miR-601,hsa-miR-342-3p,hsa-miR-645,hsa-miR-761,hsa-miR-214-3p,hsa-miR-504-5p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM200C,0.0297,0.134,0.57,11,hsa-miR-144-5p,hsa-miR-95-5p,hsa-miR-935,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-106b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-519d-3p,hsa-miR-93-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMX4,0.0297,0.134,0.57,11,hsa-miR-26b-5p,hsa-miR-21-5p,hsa-miR-324-3p,hsa-miR-197-3p,hsa-miR-20a-5p,hsa-miR-190a-3p,hsa-miR-642a-5p,hsa-miR-877-3p,hsa-miR-937-5p,hsa-miR-924,hsa-miR-500a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYND11,0.0297,0.134,0.57,11,hsa-miR-361-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-324-5p,hsa-miR-125b-5p,hsa-miR-27b-3p,hsa-miR-222-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-138-5p,hsa-miR-548an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEND4,0.03,0.135,0.655,18,hsa-miR-26b-5p,hsa-miR-505-5p,hsa-miR-202-3p,hsa-miR-520g-5p,hsa-miR-551b-5p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-98-5p,hsa-let-7a-5p,hsa-miR-664a-3p,hsa-miR-944,hsa-miR-101-3p,hsa-miR-376b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKAP2L,0.03,0.135,0.655,18,hsa-miR-769-5p,hsa-miR-193b-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-631,hsa-miR-221-5p,hsa-miR-129-5p,hsa-miR-31-5p,hsa-miR-650,hsa-miR-873-3p,hsa-miR-410-3p,hsa-miR-500a-5p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-431-5p,hsa-miR-215-3p,hsa-miR-924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNA2,0.03,0.135,0.655,18,hsa-miR-202-3p,hsa-miR-485-5p,hsa-miR-98-5p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7g-5p,hsa-let-7d-5p,hsa-let-7i-5p,hsa-let-7c-5p,hsa-miR-24-3p,hsa-miR-661,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-18b-3p,hsa-miR-18a-3p,hsa-miR-548an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM2A,0.03,0.135,0.655,18,hsa-miR-129-5p,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-889-3p,hsa-miR-455-3p,hsa-miR-25-5p,hsa-miR-377-5p,hsa-miR-92a-3p,hsa-miR-367-3p,hsa-miR-363-3p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-578,hsa-miR-205-5p,hsa-miR-199a-5p,hsa-miR-508-5p,hsa-miR-766-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP4K2,0.03,0.135,0.655,18,hsa-miR-145-5p,hsa-miR-633,hsa-miR-646,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-33a-3p,hsa-miR-645,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-588,hsa-miR-548s,hsa-miR-197-3p,hsa-miR-411-5p,hsa-miR-193b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIM2,0.03,0.135,0.655,18,hsa-miR-887-5p,hsa-miR-30b-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-202-3p,hsa-miR-98-5p,hsa-let-7i-5p,hsa-let-7g-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-485-5p,hsa-miR-558,hsa-miR-890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RABGAP1,0.03,0.135,0.655,18,hsa-miR-192-5p,hsa-miR-9-5p,hsa-miR-21-5p,hsa-miR-504-5p,hsa-miR-92a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-190a-3p,hsa-miR-656-3p,hsa-miR-362-3p,hsa-miR-128-3p,hsa-miR-216a-3p,hsa-miR-224-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-342-3p,hsa-miR-500b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM19,0.03,0.135,0.655,18,hsa-miR-877-3p,hsa-miR-27b-3p,hsa-miR-17-5p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-520f-3p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-485-5p,hsa-miR-651-5p,hsa-miR-26b-5p,hsa-miR-26a-5p,hsa-miR-627-3p,hsa-miR-24-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR155,0.0302,0.136,0.737,32,hsa-miR-186-3p,hsa-miR-520g-3p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-519d-3p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-129-5p,hsa-miR-450a-5p,hsa-miR-29b-2-5p,hsa-miR-29b-1-5p,hsa-miR-660-3p,hsa-miR-891a-3p,hsa-miR-564,hsa-miR-143-5p,hsa-miR-431-5p,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-367-5p,hsa-miR-484,hsa-miR-384,hsa-miR-193b-5p,hsa-miR-411-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD180,0.0306,0.138,0.715,27,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-761,hsa-miR-214-3p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-190a-3p,hsa-miR-362-3p,hsa-miR-101-3p,hsa-miR-25-3p,hsa-miR-25-5p,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-367-3p,hsa-miR-582-5p,hsa-miR-655-5p,hsa-miR-92a-3p,hsa-miR-149-3p,hsa-miR-30c-1-3p,hsa-miR-30c-2-3p,hsa-miR-383-3p,hsa-miR-450a-1-3p,hsa-miR-548s,hsa-miR-887-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATB2,0.0306,0.138,0.715,27,hsa-miR-31-5p,hsa-miR-34a-5p,hsa-miR-192-5p,hsa-miR-320b,hsa-miR-505-5p,hsa-miR-182-5p,hsa-miR-548an,hsa-miR-605-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-454-3p,hsa-miR-301b-3p,hsa-miR-130a-3p,hsa-miR-508-3p,hsa-miR-211-5p,hsa-miR-205-5p,hsa-miR-186-3p,hsa-miR-520g-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRKL,0.0308,0.138,0.771,42,hsa-miR-107,hsa-miR-15a-5p,hsa-miR-98-5p,hsa-miR-32-5p,hsa-miR-16-5p,hsa-let-7b-5p,hsa-miR-193b-5p,hsa-miR-23b-3p,hsa-miR-29a-3p,hsa-miR-622,hsa-miR-650,hsa-miR-7-5p,hsa-miR-214-3p,hsa-miR-15b-5p,hsa-miR-195-5p,hsa-miR-330-3p,hsa-miR-424-5p,hsa-miR-761,hsa-let-7c-3p,hsa-miR-944,hsa-miR-340-5p,hsa-miR-143-5p,hsa-miR-103a-3p,hsa-miR-661,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-887-5p,hsa-miR-30b-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-203b-3p,hsa-miR-149-3p,hsa-miR-485-5p,hsa-miR-890,hsa-miR-510-5p,hsa-miR-335-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-218-1-3p,hsa-miR-764,hsa-miR-876-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERBP1,0.031,0.139,0.765,40,hsa-miR-26a-5p,hsa-miR-16-5p,hsa-miR-625-5p,hsa-miR-328-3p,hsa-miR-30b-5p,hsa-miR-15b-5p,hsa-miR-100-5p,hsa-miR-27a-3p,hsa-let-7e-5p,hsa-let-7b-5p,hsa-miR-548n,hsa-miR-450b-5p,hsa-miR-433-3p,hsa-miR-650,hsa-miR-485-5p,hsa-miR-302f,hsa-miR-651-5p,hsa-miR-885-5p,hsa-miR-22-3p,hsa-miR-622,hsa-miR-875-3p,hsa-miR-511-3p,hsa-miR-504-5p,hsa-miR-664a-3p,hsa-miR-548l,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-15a-5p,hsa-miR-589-5p,hsa-miR-362-3p,hsa-miR-513a-5p,hsa-miR-510-5p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-548aq-3p,hsa-miR-548am-3p,hsa-miR-548aj-3p,hsa-miR-211-3p,hsa-miR-19b-3p,hsa-miR-19a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
