Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57
HADHB,0.0134,0.27,0.492,11,hsa-miR-633,hsa-miR-454-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERPUD2,0.0134,0.27,0.492,11,hsa-miR-646,hsa-miR-661,hsa-miR-873-3p,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-190a-3p,hsa-miR-548k,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-340-5p,hsa-miR-656-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITPRIPL1,0.0134,0.27,0.492,11,hsa-miR-190a-3p,hsa-miR-410-3p,hsa-miR-590-3p,hsa-miR-620,hsa-miR-432-5p,hsa-miR-384,hsa-miR-202-5p,hsa-miR-337-3p,hsa-miR-501-5p,hsa-miR-452-5p,hsa-miR-500a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM13B,0.0136,0.271,0.451,9,hsa-miR-373-3p,hsa-miR-19a-5p,hsa-miR-19b-2-5p,hsa-miR-579-3p,hsa-miR-664b-3p,hsa-miR-190a-5p,hsa-miR-670-3p,hsa-miR-222-5p,hsa-miR-545-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTF2H1,0.0136,0.271,0.451,9,hsa-miR-132-3p,hsa-miR-574-5p,hsa-miR-493-5p,hsa-miR-190a-3p,hsa-miR-223-5p,hsa-miR-511-3p,hsa-miR-450b-5p,hsa-miR-557,hsa-miR-507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORC1,0.0136,0.271,0.451,9,hsa-miR-335-3p,hsa-miR-607,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETREG3,0.0136,0.271,0.451,9,hsa-miR-31-5p,hsa-miR-874-5p,hsa-miR-210-5p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-548g-3p,hsa-miR-612,hsa-miR-661,hsa-miR-766-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFHX4,0.0136,0.271,0.451,9,hsa-miR-296-3p,hsa-miR-183-5p,hsa-miR-200b-3p,hsa-miR-369-3p,hsa-miR-424-5p,hsa-miR-429,hsa-miR-545-3p,hsa-miR-646,hsa-miR-503-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF532,0.0136,0.271,0.451,9,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-494-3p,hsa-miR-106a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERCAM,0.0143,0.283,0.514,12,hsa-miR-335-5p,hsa-miR-190a-3p,hsa-miR-297,hsa-miR-567,hsa-miR-454-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-410-3p,hsa-miR-340-5p,hsa-miR-142-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PXK,0.0143,0.283,0.514,12,hsa-miR-488-3p,hsa-miR-501-5p,hsa-miR-500a-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-454-3p,hsa-miR-577,hsa-miR-513b-3p,hsa-miR-548m,hsa-miR-578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNKS2,0.0143,0.283,0.514,12,hsa-miR-335-5p,hsa-miR-454-5p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-141-3p,hsa-miR-200a-3p,hsa-miR-548as-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF616,0.0143,0.283,0.514,12,hsa-miR-146a-3p,hsa-miR-519e-5p,hsa-miR-100-3p,hsa-miR-335-3p,hsa-miR-329-5p,hsa-miR-587,hsa-miR-374a-3p,hsa-miR-183-5p,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-miR-382-3p,hsa-miR-556-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP2C,0.0145,0.286,0.602,19,hsa-miR-454-3p,hsa-miR-574-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-653-3p,hsa-miR-181b-3p,hsa-miR-582-5p,hsa-miR-142-5p,hsa-miR-144-3p,hsa-miR-141-3p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-300,hsa-miR-381-3p,hsa-miR-429,hsa-miR-496,hsa-miR-590-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFAP4,0.0145,0.286,0.602,19,hsa-miR-373-3p,hsa-miR-335-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-548as-3p,hsa-miR-302b-3p,hsa-miR-302e,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-302d-3p,hsa-miR-520f-3p,hsa-miR-582-5p,hsa-miR-583,hsa-miR-144-3p,hsa-miR-30c-1-3p,hsa-miR-30c-2-3p,hsa-miR-608,hsa-miR-637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAP2,0.0148,0.291,0.532,13,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-582-5p,hsa-miR-300,hsa-miR-381-3p,hsa-miR-144-3p,hsa-miR-627-3p,hsa-miR-211-5p,hsa-miR-335-3p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMC1,0.0148,0.291,0.593,18,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519d-3p,hsa-miR-661,hsa-miR-612,hsa-miR-766-3p,hsa-miR-759,hsa-miR-508-5p,hsa-miR-557,hsa-miR-507,hsa-miR-876-3p,hsa-miR-9-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS27A,0.0148,0.291,0.532,13,hsa-miR-578,hsa-miR-643,hsa-miR-510-3p,hsa-miR-106a-3p,hsa-miR-488-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-651-3p,hsa-miR-519d-3p,hsa-miR-454-3p,hsa-miR-190a-3p,hsa-miR-450a-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYPL1,0.0148,0.291,0.532,13,hsa-miR-155-5p,hsa-miR-340-5p,hsa-miR-9-5p,hsa-miR-487a-3p,hsa-miR-154-3p,hsa-miR-100-3p,hsa-miR-545-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-548e-5p,hsa-miR-424-5p,hsa-miR-548an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMPR2,0.0152,0.292,0.548,14,hsa-miR-215-5p,hsa-miR-7-5p,hsa-miR-192-5p,hsa-miR-135a-5p,hsa-miR-519d-3p,hsa-miR-32-5p,hsa-miR-135b-5p,hsa-miR-103a-2-5p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-452-5p,hsa-miR-100-3p,hsa-miR-490-5p,hsa-miR-153-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAB39,0.0152,0.292,0.548,14,hsa-miR-155-5p,hsa-miR-877-5p,hsa-miR-200b-3p,hsa-miR-340-5p,hsa-miR-429,hsa-miR-580-3p,hsa-miR-651-3p,hsa-miR-378b,hsa-miR-378c,hsa-miR-378d,hsa-miR-378f,hsa-miR-378h,hsa-miR-519e-5p,hsa-miR-619-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSDE1,0.0151,0.292,0.584,17,hsa-miR-340-5p,hsa-miR-376a-5p,hsa-miR-432-5p,hsa-miR-651-3p,hsa-miR-542-3p,hsa-miR-190a-5p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-493-3p,hsa-miR-410-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-548az-5p,hsa-miR-525-5p,hsa-miR-520a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELAVL2,0.0151,0.292,0.584,17,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-141-3p,hsa-miR-200a-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-302b-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302d-3p,hsa-miR-302e,hsa-miR-502-3p,hsa-miR-501-3p,hsa-miR-514b-5p,hsa-miR-513c-5p,hsa-miR-616-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN1,0.015,0.292,0.433,8,hsa-miR-128-1-5p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-miR-300,hsa-miR-381-3p,hsa-miR-624-3p,hsa-miR-98-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM160B1,0.0151,0.292,0.584,17,hsa-miR-133b,hsa-miR-545-5p,hsa-miR-548ag,hsa-miR-548ba,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-522-3p,hsa-miR-519d-3p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INIP,0.0152,0.292,0.548,14,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-340-5p,hsa-miR-377-5p,hsa-miR-32-3p,hsa-miR-208b-3p,hsa-miR-208a-3p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-580-5p,hsa-miR-501-5p,hsa-miR-500a-5p,hsa-miR-335-5p,hsa-miR-924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNJ8,0.015,0.292,0.433,8,hsa-miR-556-3p,hsa-miR-519d-3p,hsa-miR-302b-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLA1,0.0152,0.292,0.548,14,hsa-miR-877-3p,hsa-miR-200a-5p,hsa-miR-744-3p,hsa-miR-122-5p,hsa-miR-367-5p,hsa-miR-578,hsa-miR-627-3p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-620,hsa-miR-584-5p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-758-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPIL3,0.015,0.292,0.433,8,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-875-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAF,0.015,0.292,0.433,8,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-493-5p,hsa-miR-205-5p,hsa-miR-155-5p,hsa-miR-576-5p,hsa-miR-196b-5p,hsa-miR-583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH1A3,0.0154,0.294,0.481,10,hsa-miR-9-5p,hsa-miR-7-5p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-597-3p,hsa-miR-182-3p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGLON5,0.0154,0.294,0.481,10,hsa-miR-335-5p,hsa-miR-574-3p,hsa-miR-574-5p,hsa-miR-297,hsa-miR-644a,hsa-miR-223-5p,hsa-miR-567,hsa-miR-511-3p,hsa-miR-877-3p,hsa-miR-660-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK2,0.0154,0.294,0.481,10,hsa-miR-200b-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-519e-5p,hsa-miR-190a-3p,hsa-miR-574-5p,hsa-miR-511-3p,hsa-miR-135a-5p,hsa-miR-144-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USP28,0.0154,0.294,0.481,10,hsa-miR-122-5p,hsa-miR-363-3p,hsa-miR-340-5p,hsa-miR-32-5p,hsa-miR-20a-3p,hsa-miR-153-3p,hsa-miR-519d-3p,hsa-let-7a-2-3p,hsa-let-7c-3p,hsa-miR-493-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM10,0.0159,0.297,0.331,5,hsa-miR-122-5p,hsa-miR-155-5p,hsa-miR-32-5p,hsa-miR-448,hsa-miR-655-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARHGEF9,0.0159,0.297,0.331,5,hsa-miR-574-5p,hsa-miR-223-5p,hsa-miR-297,hsa-miR-511-3p,hsa-miR-567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP7,0.0159,0.297,0.331,5,hsa-miR-132-3p,hsa-miR-122-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-224-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHCHD7,0.0159,0.297,0.331,5,hsa-miR-302c-5p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-129-2-3p,hsa-miR-129-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYFIP2,0.0159,0.297,0.331,5,hsa-miR-9-5p,hsa-miR-335-3p,hsa-miR-491-3p,hsa-miR-579-3p,hsa-miR-664b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL7,0.0159,0.297,0.331,5,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-376b-3p,hsa-miR-513b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT2A,0.0159,0.297,0.331,5,hsa-let-7a-2-3p,hsa-let-7c-3p,hsa-miR-296-3p,hsa-miR-493-5p,hsa-miR-553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELFE,0.0159,0.297,0.331,5,hsa-miR-877-5p,hsa-miR-628-5p,hsa-miR-525-5p,hsa-miR-520a-5p,hsa-miR-501-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF14,0.0159,0.297,0.331,5,hsa-miR-155-5p,hsa-miR-122-5p,hsa-miR-183-5p,hsa-miR-429,hsa-miR-200b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIGN,0.0159,0.297,0.331,5,hsa-miR-335-5p,hsa-miR-568,hsa-miR-202-5p,hsa-miR-337-3p,hsa-miR-641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLIN1,0.0159,0.297,0.331,5,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-106a-3p,hsa-miR-501-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMIM21,0.0159,0.297,0.331,5,hsa-miR-223-5p,hsa-miR-297,hsa-miR-511-3p,hsa-miR-567,hsa-miR-574-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRED2,0.0159,0.297,0.331,5,hsa-miR-647,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-31-5p,hsa-miR-487a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRI,0.0159,0.297,0.331,5,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMMECR1,0.0162,0.301,0.408,7,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-10b-3p,hsa-miR-297,hsa-miR-567,hsa-miR-511-3p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4GALT6,0.0162,0.301,0.408,7,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-190a-3p,hsa-miR-205-5p,hsa-miR-9-3p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACK1,0.0162,0.301,0.408,7,hsa-miR-877-5p,hsa-miR-296-3p,hsa-miR-30c-2-3p,hsa-miR-196b-5p,hsa-miR-132-3p,hsa-miR-183-5p,hsa-miR-575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST18,0.0162,0.301,0.408,7,hsa-miR-580-3p,hsa-miR-451b,hsa-miR-376b-5p,hsa-miR-376c-5p,hsa-miR-496,hsa-miR-574-5p,hsa-miR-924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBNA1BP2,0.0163,0.303,0.641,23,hsa-miR-339-5p,hsa-miR-377-5p,hsa-miR-514b-5p,hsa-miR-513c-5p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-450a-1-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-578,hsa-miR-597-3p,hsa-miR-182-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKAR1A,0.0166,0.306,0.506,11,hsa-miR-155-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-96-5p,hsa-miR-519e-3p,hsa-miR-33b-3p,hsa-miR-519d-3p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-552-5p,hsa-miR-580-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRABD2A,0.0166,0.306,0.506,11,hsa-miR-514b-5p,hsa-miR-513c-5p,hsa-miR-616-5p,hsa-miR-202-5p,hsa-miR-337-3p,hsa-miR-525-5p,hsa-miR-520a-5p,hsa-miR-10a-3p,hsa-miR-296-3p,hsa-miR-590-3p,hsa-miR-620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSS3,0.0167,0.307,0.376,6,hsa-miR-335-5p,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-664b-3p,hsa-miR-579-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELF4,0.0167,0.307,0.376,6,hsa-miR-335-5p,hsa-miR-378b,hsa-miR-378c,hsa-miR-378d,hsa-miR-378f,hsa-miR-378h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZD1,0.0167,0.307,0.376,6,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-522-3p,hsa-miR-651-3p,hsa-miR-31-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATB2,0.0167,0.307,0.61,19,hsa-miR-31-5p,hsa-miR-192-5p,hsa-miR-505-5p,hsa-miR-548an,hsa-miR-605-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-454-3p,hsa-miR-508-3p,hsa-miR-211-5p,hsa-miR-205-5p,hsa-miR-186-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP100,0.0167,0.307,0.376,6,hsa-miR-196b-5p,hsa-miR-18b-5p,hsa-miR-624-3p,hsa-miR-493-3p,hsa-miR-381-3p,hsa-miR-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPI1,0.0167,0.307,0.376,6,hsa-miR-155-5p,hsa-miR-569,hsa-miR-424-5p,hsa-miR-9-5p,hsa-miR-296-3p,hsa-miR-339-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBXN2B,0.0168,0.307,0.656,25,hsa-miR-155-5p,hsa-miR-376a-2-5p,hsa-miR-583,hsa-miR-7-5p,hsa-miR-675-3p,hsa-miR-297,hsa-miR-580-3p,hsa-miR-222-5p,hsa-miR-545-5p,hsa-miR-190a-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-567,hsa-miR-381-3p,hsa-miR-300,hsa-miR-628-5p,hsa-miR-10b-3p,hsa-miR-506-5p,hsa-miR-892c-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-506-3p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBFB,0.0175,0.317,0.468,9,hsa-miR-155-5p,hsa-miR-100-3p,hsa-miR-153-3p,hsa-miR-624-3p,hsa-miR-548ag,hsa-miR-548ba,hsa-miR-448,hsa-miR-548x-3p,hsa-miR-548j-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOCK,0.0175,0.317,0.593,17,hsa-miR-141-3p,hsa-miR-552-5p,hsa-miR-450a-1-3p,hsa-miR-769-3p,hsa-miR-450b-3p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-580-3p,hsa-miR-519e-3p,hsa-miR-33b-3p,hsa-miR-548az-5p,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERBIN,0.0174,0.317,0.527,12,hsa-miR-429,hsa-miR-200a-3p,hsa-miR-155-5p,hsa-miR-141-3p,hsa-miR-200b-3p,hsa-miR-32-5p,hsa-miR-877-3p,hsa-miR-454-3p,hsa-miR-488-3p,hsa-miR-433-3p,hsa-miR-873-3p,hsa-miR-183-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCCS,0.0175,0.317,0.468,9,hsa-miR-122-5p,hsa-miR-153-3p,hsa-miR-362-5p,hsa-miR-500b-5p,hsa-miR-501-5p,hsa-miR-548az-5p,hsa-miR-573,hsa-miR-595,hsa-miR-651-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOXB3,0.0175,0.317,0.593,17,hsa-miR-7-5p,hsa-miR-607,hsa-miR-335-5p,hsa-miR-504-5p,hsa-miR-224-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-10a-3p,hsa-miR-548az-5p,hsa-miR-373-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-520c-3p,hsa-miR-454-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNX24,0.0175,0.317,0.468,9,hsa-miR-651-3p,hsa-miR-340-5p,hsa-miR-142-5p,hsa-miR-32-3p,hsa-miR-552-5p,hsa-miR-302c-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-874-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTC9,0.0175,0.317,0.468,9,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-590-3p,hsa-miR-302e,hsa-miR-9-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGT2B4,0.0178,0.322,0.583,16,hsa-miR-335-5p,hsa-miR-574-5p,hsa-miR-433-3p,hsa-miR-190a-3p,hsa-miR-223-5p,hsa-miR-511-3p,hsa-miR-513b-5p,hsa-miR-646,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-362-3p,hsa-miR-568,hsa-miR-297,hsa-miR-567,hsa-miR-656-3p,hsa-miR-510-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
