Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114,microRNA 115,microRNA 116,microRNA 117
TGFB1,8.13E-10,0.000000539,0.292,20,hsa-miR-24-3p,hsa-miR-29b-3p,hsa-miR-633,hsa-miR-21-5p,hsa-miR-744-5p,hsa-miR-211-5p,hsa-miR-17-5p,hsa-miR-19b-3p,hsa-miR-93-5p,hsa-miR-324-3p,hsa-miR-122-5p,hsa-miR-130a-3p,hsa-miR-422a,hsa-miR-675-5p,hsa-miR-146a-5p,hsa-miR-574-3p,hsa-miR-15b-5p,hsa-miR-29b-1-5p,hsa-miR-106a-5p,hsa-miR-185-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUWE1,1.23E-09,0.000000762,0.354,28,hsa-miR-34a-5p,hsa-miR-877-3p,hsa-miR-877-5p,hsa-miR-424-3p,hsa-miR-7-1-3p,hsa-miR-660-5p,hsa-miR-193b-3p,hsa-miR-484,hsa-miR-324-3p,hsa-miR-361-5p,hsa-miR-29c-3p,hsa-miR-106b-5p,hsa-miR-186-5p,hsa-miR-149-5p,hsa-miR-125b-5p,hsa-miR-181b-5p,hsa-miR-181a-5p,hsa-miR-196a-5p,hsa-miR-93-5p,hsa-miR-29a-3p,hsa-miR-17-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-190a-3p,hsa-miR-410-3p,hsa-miR-590-3p,hsa-miR-542-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAPDH,1.33E-09,0.000000787,0.312,22,hsa-miR-29c-3p,hsa-miR-644a,hsa-miR-877-3p,hsa-miR-423-5p,hsa-miR-296-3p,hsa-miR-106b-3p,hsa-miR-29b-2-5p,hsa-miR-766-3p,hsa-miR-769-3p,hsa-miR-501-5p,hsa-miR-484,hsa-miR-324-3p,hsa-miR-331-3p,hsa-miR-149-5p,hsa-miR-23b-3p,hsa-miR-96-5p,hsa-miR-93-5p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-17-3p,hsa-miR-17-5p,hsa-let-7b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDIT4,1.86E-09,0.00000106,0.453,46,hsa-miR-221-3p,hsa-miR-181a-5p,hsa-miR-124-3p,hsa-miR-101-3p,hsa-miR-30c-5p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-181d-5p,hsa-miR-600,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-miR-153-3p,hsa-miR-367-3p,hsa-miR-92b-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548d-5p,hsa-miR-548j-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ab,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-199a-3p,hsa-miR-199b-3p,hsa-miR-22-3p,hsa-miR-222-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-335-3p,hsa-miR-26b-5p,hsa-miR-26a-5p,hsa-miR-590-3p,hsa-miR-448,hsa-miR-24-2-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITGB8,2.4E-09,0.00000131,0.424,39,hsa-miR-93-5p,hsa-miR-19b-1-5p,hsa-miR-145-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-148a-3p,hsa-miR-152-3p,hsa-miR-148b-3p,hsa-miR-376b-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548d-5p,hsa-miR-656-3p,hsa-miR-548j-5p,hsa-miR-548l,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ab,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-548n,hsa-miR-21-5p,hsa-miR-487a-3p,hsa-miR-154-3p,hsa-miR-576-5p,hsa-miR-186-5p,hsa-miR-25-3p,hsa-miR-302f,hsa-miR-32-5p,hsa-miR-367-3p,hsa-miR-652-5p,hsa-miR-92a-3p,hsa-miR-92b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIN,2.68E-09,0.00000135,0.368,29,hsa-miR-373-3p,hsa-miR-148b-3p,hsa-miR-130b-3p,hsa-miR-9-5p,hsa-miR-103a-3p,hsa-miR-93-5p,hsa-miR-21-5p,hsa-miR-16-5p,hsa-miR-18a-3p,hsa-miR-125a-5p,hsa-miR-30e-3p,hsa-miR-30d-3p,hsa-miR-30a-3p,hsa-miR-222-5p,hsa-miR-138-2-3p,hsa-miR-574-5p,hsa-miR-545-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-20b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,hsa-miR-181d-5p,hsa-miR-181c-5p,hsa-miR-181b-5p,hsa-miR-181a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIK1,2.61E-09,0.00000135,0.473,50,hsa-miR-32-5p,hsa-miR-28-5p,hsa-let-7a-5p,hsa-miR-148a-3p,hsa-miR-152-3p,hsa-miR-148b-3p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-20b-5p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-668-3p,hsa-miR-302e,hsa-miR-761,hsa-miR-214-3p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-130b-3p,hsa-miR-130a-3p,hsa-miR-301b-3p,hsa-miR-616-3p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548ab,hsa-miR-520f-3p,hsa-miR-92b-3p,hsa-miR-92a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPEB4,3.14E-09,0.00000153,0.422,38,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-145-5p,hsa-miR-128-3p,hsa-miR-32-5p,hsa-miR-9-5p,hsa-let-7b-5p,hsa-miR-214-3p,hsa-miR-342-3p,hsa-miR-487b-3p,hsa-miR-377-3p,hsa-miR-487a-3p,hsa-miR-409-3p,hsa-miR-377-5p,hsa-miR-382-3p,hsa-miR-761,hsa-miR-34a-3p,hsa-miR-510-3p,hsa-miR-607,hsa-miR-573,hsa-miR-25-3p,hsa-miR-367-3p,hsa-miR-92a-3p,hsa-miR-92b-3p,hsa-miR-491-3p,hsa-miR-874-3p,hsa-miR-30e-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30c-5p,hsa-miR-30a-5p,hsa-miR-27b-3p,hsa-miR-27a-3p,hsa-miR-181d-5p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-181a-5p,hsa-miR-29c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGA3,3.59E-09,0.00000158,0.358,27,hsa-miR-196a-5p,hsa-miR-103a-3p,hsa-miR-26b-5p,hsa-miR-744-5p,hsa-miR-423-5p,hsa-miR-23a-3p,hsa-miR-222-5p,hsa-miR-214-5p,hsa-miR-98-5p,hsa-let-7i-5p,hsa-let-7g-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-199b-3p,hsa-miR-199a-3p,hsa-miR-196b-5p,hsa-miR-451b,hsa-miR-522-3p,hsa-miR-224-3p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAK1,3.48E-09,0.00000158,0.27,16,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-128-3p,hsa-miR-20a-5p,hsa-miR-23b-3p,hsa-miR-15b-5p,hsa-miR-9-5p,hsa-miR-107,hsa-miR-30e-5p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-30a-5p,hsa-miR-30b-5p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-373-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAP1,3.51E-09,0.00000158,0.407,35,hsa-let-7b-5p,hsa-miR-630,hsa-miR-200a-3p,hsa-miR-26b-5p,hsa-miR-141-3p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548d-5p,hsa-miR-877-5p,hsa-miR-548j-5p,hsa-miR-548k,hsa-miR-548l,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ab,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548av-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-506-3p,hsa-miR-138-2-3p,hsa-miR-10a-3p,hsa-miR-509-3p,hsa-miR-27a-3p,hsa-miR-195-5p,hsa-miR-424-3p,hsa-miR-199a-3p,hsa-miR-138-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYB,3.72E-09,0.00000159,0.305,20,hsa-miR-15a-5p,hsa-miR-34a-5p,hsa-miR-34b-5p,hsa-miR-150-5p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-424-5p,hsa-miR-193b-3p,hsa-miR-215-5p,hsa-miR-198,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-150-3p,hsa-miR-103a-3p,hsa-miR-195-5p,hsa-miR-105-5p,hsa-miR-106a-5p,hsa-miR-503-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSDE1,4.47E-09,0.00000174,0.43,39,hsa-miR-340-5p,hsa-miR-16-5p,hsa-miR-423-5p,hsa-miR-92b-3p,hsa-miR-326,hsa-miR-23b-3p,hsa-miR-204-5p,hsa-miR-30c-5p,hsa-miR-92a-3p,hsa-miR-23a-3p,hsa-miR-298,hsa-miR-543,hsa-miR-409-3p,hsa-miR-376a-5p,hsa-miR-432-5p,hsa-miR-891b,hsa-miR-651-3p,hsa-miR-186-5p,hsa-miR-542-3p,hsa-miR-190a-5p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-493-3p,hsa-miR-410-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,hsa-miR-548az-5p,hsa-miR-520a-5p,hsa-miR-488-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLF4,4.37E-09,0.00000174,0.315,21,hsa-miR-145-5p,hsa-miR-10b-5p,hsa-miR-25-3p,hsa-miR-135b-5p,hsa-miR-130a-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-30b-5p,hsa-miR-29a-3p,hsa-miR-15a-5p,hsa-miR-624-3p,hsa-miR-34a-5p,hsa-miR-7-5p,hsa-miR-152-3p,hsa-miR-32-5p,hsa-miR-367-3p,hsa-miR-92a-3p,hsa-miR-135a-5p,hsa-miR-29c-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRPF8,4.37E-09,0.00000174,0.315,21,hsa-miR-532-3p,hsa-miR-296-3p,hsa-miR-193b-3p,hsa-miR-484,hsa-miR-324-5p,hsa-miR-361-5p,hsa-miR-186-5p,hsa-miR-140-5p,hsa-miR-27b-3p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-106a-5p,hsa-miR-93-5p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-17-5p,hsa-miR-16-5p,hsa-let-7e-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-miR-409-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETNK1,4.83E-09,0.00000183,0.472,48,hsa-miR-1-3p,hsa-miR-21-5p,hsa-miR-15b-5p,hsa-miR-374b-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548d-5p,hsa-miR-548j-5p,hsa-miR-548k,hsa-miR-548l,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ab,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548av-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-195-5p,hsa-miR-513a-3p,hsa-miR-513c-3p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-23c,hsa-miR-205-5p,hsa-miR-499b-3p,hsa-miR-199a-3p,hsa-miR-199b-3p,hsa-miR-222-5p,hsa-miR-556-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-369-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO1,0.000000007,0.00000245,0.509,57,hsa-miR-503-5p,hsa-miR-148b-3p,hsa-miR-130b-3p,hsa-miR-106b-5p,hsa-miR-107,hsa-miR-93-5p,hsa-miR-19b-3p,hsa-miR-320c,hsa-miR-877-3p,hsa-miR-877-5p,hsa-miR-744-5p,hsa-miR-455-3p,hsa-miR-769-3p,hsa-miR-421,hsa-miR-652-3p,hsa-miR-18a-3p,hsa-miR-193b-3p,hsa-miR-484,hsa-miR-324-5p,hsa-miR-326,hsa-miR-328-3p,hsa-miR-330-3p,hsa-miR-378a-3p,hsa-miR-195-5p,hsa-miR-186-5p,hsa-miR-185-5p,hsa-miR-149-5p,hsa-miR-138-5p,hsa-let-7g-5p,hsa-miR-34a-5p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-197-3p,hsa-miR-106a-5p,hsa-miR-99a-5p,hsa-miR-92a-3p,hsa-miR-29a-3p,hsa-miR-26a-5p,hsa-miR-25-3p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-let-7e-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-19a-3p,hsa-miR-20b-5p,hsa-miR-103a-3p,hsa-let-7d-5p,hsa-let-7f-5p,hsa-let-7i-5p,hsa-miR-1-3p,hsa-miR-517-5p,hsa-miR-100-3p,hsa-miR-34b-5p,hsa-miR-219a-2-3p,hsa-miR-892b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAH1,6.94E-09,0.00000245,0.414,35,hsa-miR-210-3p,hsa-miR-30b-5p,hsa-miR-34a-5p,hsa-miR-21-5p,hsa-miR-18a-3p,hsa-miR-221-3p,hsa-miR-100-5p,hsa-miR-92a-3p,hsa-miR-18a-5p,hsa-miR-377-3p,hsa-miR-196a-3p,hsa-miR-892b,hsa-miR-193b-3p,hsa-miR-193a-3p,hsa-miR-590-3p,hsa-miR-374b-3p,hsa-miR-411-5p,hsa-miR-891a-3p,hsa-miR-376a-2-5p,hsa-miR-30e-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30a-5p,hsa-miR-128-3p,hsa-miR-216a-3p,hsa-miR-29b-2-5p,hsa-miR-376c-5p,hsa-miR-376b-5p,hsa-miR-509-3p,hsa-miR-759,hsa-miR-548an,hsa-miR-183-5p,hsa-miR-96-5p,hsa-miR-579-3p,hsa-miR-664b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAP1,6.67E-09,0.00000245,0.284,17,hsa-miR-16-5p,hsa-miR-361-3p,hsa-miR-769-3p,hsa-miR-193b-3p,hsa-miR-424-5p,hsa-miR-324-5p,hsa-miR-331-3p,hsa-miR-342-3p,hsa-miR-186-5p,hsa-miR-149-5p,hsa-miR-222-3p,hsa-miR-197-3p,hsa-miR-196a-5p,hsa-miR-92a-3p,hsa-miR-26a-5p,hsa-miR-25-3p,hsa-miR-17-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTCH2,8.97E-09,0.00000305,0.411,34,hsa-miR-1-3p,hsa-miR-16-5p,hsa-miR-181c-5p,hsa-miR-326,hsa-miR-34a-5p,hsa-miR-107,hsa-miR-183-5p,hsa-miR-181a-5p,hsa-miR-744-5p,hsa-miR-27b-3p,hsa-miR-196a-5p,hsa-miR-106a-5p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-17-5p,hsa-let-7c-5p,hsa-miR-29b-3p,hsa-miR-515-5p,hsa-miR-519e-5p,hsa-miR-23b-3p,hsa-miR-205-5p,hsa-miR-96-5p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-29b-1-5p,hsa-miR-543,hsa-miR-210-5p,hsa-miR-10b-3p,hsa-miR-146a-5p,hsa-miR-9-3p,hsa-miR-9-5p,hsa-miR-191-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFF4,1.02E-08,0.00000338,0.424,36,hsa-miR-374b-5p,hsa-miR-421,hsa-miR-128-3p,hsa-miR-101-3p,hsa-miR-27a-3p,hsa-miR-532-3p,hsa-miR-18a-5p,hsa-let-7b-5p,hsa-miR-101-5p,hsa-miR-513a-3p,hsa-miR-513c-3p,hsa-miR-425-5p,hsa-miR-205-5p,hsa-miR-642a-3p,hsa-miR-519e-5p,hsa-miR-515-5p,hsa-miR-302f,hsa-miR-587,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-623,hsa-miR-627-3p,hsa-miR-30e-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30c-5p,hsa-miR-30a-5p,hsa-miR-27b-3p,hsa-miR-181d-5p,hsa-miR-181c-5p,hsa-miR-181b-5p,hsa-miR-181a-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-15a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICER1,1.05E-08,0.00000341,0.454,42,hsa-let-7a-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-519a-3p,hsa-miR-130a-3p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-29a-3p,hsa-miR-18a-5p,hsa-miR-130b-3p,hsa-miR-425-5p,hsa-miR-29c-3p,hsa-miR-215-5p,hsa-miR-98-5p,hsa-miR-296-3p,hsa-miR-16-5p,hsa-miR-195-5p,hsa-miR-9-5p,hsa-miR-581,hsa-miR-513a-3p,hsa-miR-513c-3p,hsa-miR-106a-3p,hsa-miR-376a-5p,hsa-miR-586,hsa-miR-377-5p,hsa-miR-21-5p,hsa-miR-582-5p,hsa-miR-101-3p,hsa-miR-148b-3p,hsa-miR-148a-3p,hsa-miR-152-3p,hsa-miR-301b-3p,hsa-miR-19b-3p,hsa-miR-19a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-200a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLNA,1.25E-08,0.00000396,0.308,19,hsa-miR-1-3p,hsa-miR-7-5p,hsa-miR-92b-3p,hsa-miR-193b-3p,hsa-miR-484,hsa-miR-324-5p,hsa-miR-331-3p,hsa-miR-378a-3p,hsa-miR-200c-3p,hsa-miR-149-5p,hsa-miR-23b-3p,hsa-miR-222-3p,hsa-miR-221-3p,hsa-miR-196a-5p,hsa-miR-92a-3p,hsa-miR-23a-3p,hsa-miR-20a-5p,hsa-miR-16-5p,hsa-let-7b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSK3B,1.46E-08,0.0000042,0.443,39,hsa-miR-26a-5p,hsa-miR-29b-3p,hsa-miR-877-3p,hsa-miR-425-5p,hsa-miR-92a-3p,hsa-miR-183-5p,hsa-miR-96-5p,hsa-let-7a-3p,hsa-let-7f-1-3p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-miR-190a-3p,hsa-miR-346,hsa-miR-199a-5p,hsa-miR-409-5p,hsa-miR-374b-5p,hsa-miR-410-3p,hsa-miR-513c-3p,hsa-miR-369-3p,hsa-miR-513a-3p,hsa-miR-26b-5p,hsa-miR-33a-3p,hsa-miR-409-3p,hsa-miR-383-3p,hsa-miR-377-3p,hsa-miR-16-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-9-5p,hsa-miR-769-5p,hsa-miR-27a-3p,hsa-miR-129-1-3p,hsa-miR-99b-3p,hsa-miR-29a-3p,hsa-miR-26a-1-3p,hsa-miR-501-5p,hsa-miR-616-5p,hsa-miR-744-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP1B,1.46E-08,0.0000042,0.443,39,hsa-miR-9-5p,hsa-miR-34a-5p,hsa-miR-7-5p,hsa-miR-455-3p,hsa-miR-222-3p,hsa-miR-30d-5p,hsa-miR-92a-3p,hsa-miR-380-3p,hsa-miR-151a-3p,hsa-miR-411-5p,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-367-3p,hsa-miR-92b-3p,hsa-miR-26a-5p,hsa-miR-26b-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-510-3p,hsa-miR-487a-3p,hsa-miR-154-3p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-23c,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-302e,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-302d-3p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-513a-5p,hsa-miR-562,hsa-miR-27b-3p,hsa-miR-27a-3p,hsa-miR-298,hsa-miR-641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
