T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC
ALDH3A2,-3.949126437,0.000682732,0.002990097,0.308753425,3.165749565,-1.695472956
CAVIN3,-3.96011176,0.000664708,0.002919429,0.376423372,3.177368971,-1.409571886
DHRS7,-3.96512581,0.000656639,0.002900469,0.237813922,3.182673232,-2.072094917
ITIH3,3.969203924,0.000650148,0.002880025,3.307193902,3.186987746,1.725607634
CRYAB,-3.982582859,0.000629297,0.002795669,0.463703823,3.201144447,-1.108724475
SEL1L,-3.984498814,0.000626366,0.002790667,0.410727112,3.203172056,-1.283747911
DYNLRB1,-4.002916413,0.000598872,0.002675883,0.367889143,3.222666317,-1.442656994
CYB5A,-4.008030379,0.000591452,0.002650392,0.324902864,3.228080287,-1.621919632
DCN,4.010727392,0.000587576,0.002640677,2.489188107,3.230935695,1.315675259
RPS20,4.010794718,0.00058748,0.002640677,1.580240836,3.231006977,0.660144448
IGSF8,-4.014981111,0.000581514,0.002628717,0.240438351,3.23543948,-2.056261063
TMEM109,-4.033571822,0.000555742,0.002519582,0.299748956,3.255126537,-1.738173366
NUCB2,-4.036069836,0.000552367,0.002511645,0.609999068,3.25777228,-0.713121057
ACTA2,-4.044903131,0.000540594,0.002465364,0.530916357,3.267128721,-0.913443506
S100A6,-4.047012351,0.00053782,0.00245997,0.683773897,3.26936303,-0.548408747
CRIP2,-4.054367616,0.000528257,0.002423397,0.590825141,3.27715501,-0.759196877
PEBP1,-4.059505833,0.000521676,0.002400333,0.603120104,3.282598764,-0.72948277
IGF2R,-4.074070306,0.000503464,0.00232345,0.381674447,3.298031265,-1.389585495
WLS,-4.081478833,0.000494445,0.002288656,0.361639907,3.30588241,-1.467374206
ATP2A2,-4.086499452,0.000488424,0.002267576,0.219429816,3.31120338,-2.188168526
RAB5B,-4.092463862,0.000481366,0.00224154,0.318622996,3.317525008,-1.650077701
MRC2,-4.093743201,0.000479865,0.002241302,0.354515779,3.318881024,-1.496078253
ADIRF,-4.100660198,0.000471832,0.00221046,0.397430398,3.326212933,-1.331225872
P4HB,-4.101003423,0.000471437,0.00221046,0.616870267,3.32657676,-0.696960986
C8B,4.104655168,0.000467253,0.002209093,1.564604961,3.330447793,0.645798445
LANCL1,-4.108833207,0.000462512,0.002193386,0.301342872,3.33487691,-1.730522156
CLIC1,4.11130751,0.000459727,0.002186886,1.972493469,3.337499997,0.980020523
PRKCSH,-4.111366415,0.000459661,0.002186886,0.374171106,3.337562445,-1.418229938
CYFIP1,4.122976828,0.000446815,0.002138627,1.700462927,3.349871908,0.765927553
TMED10,-4.123017273,0.000446771,0.002138627,0.547534915,3.349914791,-0.868977129
LSS,-4.127810612,0.000441573,0.002126705,0.280248159,3.354997147,-1.835223198
COTL1,4.134464586,0.000434457,0.002098973,2.851538135,3.362052711,1.511740327
